H3_INDEX,ANO_SEMANA,QTD_CRIMES,ALVO
89a80a42a47ffff,2023-39,1,1
89a80a42a63ffff,2022-46,4,1
89a80a42a63ffff,2023-22,1,1
89a80a42a63ffff,2023-52,1,1
89a80a42a6bffff,2023-10,27,1
89a80a42a6bffff,2023-33,1,1
89a80a42a6bffff,2023-35,13,1
89a80a42a73ffff,2023-40,1,1
89a80a42a73ffff,2023-41,8,1
89a80a42a8fffff,2022-50,4,1
89a80a42a9bffff,2023-22,1,1
89a80a42aa3ffff,2023-34,10,1
89a80a42aa3ffff,2023-42,1,1
89a80a42aafffff,2023-30,4,1
89a80a42ab7ffff,2023-35,4,1
89a80a42abbffff,2022-51,4,1
89a80a42b07ffff,2023-47,5,1
89a80a42b0bffff,2023-16,1,1
89a80a42b17ffff,2023-10,5,1
89a80a42b17ffff,2023-52,1,1
89a80a42b1bffff,2023-14,5,1
89a80a42b27ffff,2023-36,6,1
89a80a42b33ffff,2023-45,1,1
89a80a42b4bffff,2023-46,1,1
89a80a42b53ffff,2023-18,1,1
89a80a42b57ffff,2023-17,4,1
89a80a42b5bffff,2023-33,1,1
89a80a42b6bffff,2023-17,4,1
89a80a42b73ffff,2023-20,1,1
89a80a42b7bffff,2023-33,5,1
89a80a42b83ffff,2023-09,1,1
89a80a42b83ffff,2023-15,7,1
89a80a42b83ffff,2023-16,2,1
89a80a42b83ffff,2023-47,13,1
89a80a42b87ffff,2023-20,1,1
89a80a42b87ffff,2023-25,4,1
89a80a42b8fffff,2023-04,1,1
89a80a42b93ffff,2023-15,5,1
89a80a42bc3ffff,2023-45,1,1
89a80a42bc7ffff,2023-41,1,1
89a80a42bc7ffff,2023-43,5,1
89a80a42bc7ffff,2023-50,1,1
89a80a42bcfffff,2023-11,4,1
89a80a42bcfffff,2023-45,5,1
89a80a42d67ffff,2023-27,2,1
89a80a42e77ffff,2023-15,5,1
89a80a4354bffff,2023-23,1,1
89a80a4400bffff,2023-19,1,1
89a80a4400bffff,2023-48,5,1
89a80a4400bffff,2023-52,5,1
89a80a44013ffff,2023-47,2,1
89a80a4401bffff,2023-42,1,1
89a80a44027ffff,2023-06,4,1
89a80a44027ffff,2023-32,1,1
89a80a44027ffff,2023-47,1,1
89a80a44027ffff,2023-49,8,1
89a80a4402fffff,2023-22,5,1
89a80a4402fffff,2023-40,1,1
89a80a44033ffff,2023-42,1,1
89a80a44037ffff,2023-13,1,1
89a80a44037ffff,2023-29,5,1
89a80a44037ffff,2023-39,4,1
89a80a44037ffff,2023-41,9,1
